year,iso_domestic,iso_foreign
1984,FRA,AUS
1984,GBR,AUS
1984,ITA,AUS
1984,JPN,AUS
1984,NLD,AUS
1984,NOR,AUS
1984,PRT,AUS
1984,SWE,AUS
1985,BEL,AUS
1985,CHE,AUS
1985,DEU,AUS
1985,DNK,AUS
1985,ESP,AUS
1985,FIN,AUS
1985,FRA,AUS
1985,GBR,AUS
1985,ITA,AUS
1985,JPN,AUS
1985,NLD,AUS
1985,NOR,AUS
1985,PRT,AUS
1985,SWE,AUS
1986,BEL,AUS
1986,CHE,AUS
1986,DEU,AUS
1986,DNK,AUS
1986,ESP,AUS
1986,FIN,AUS
1986,FRA,AUS
1986,GBR,AUS
1986,ITA,AUS
1986,NLD,AUS
1986,NOR,AUS
1986,PRT,AUS
1986,SWE,AUS
1987,BEL,AUS
1987,CHE,AUS
1987,DEU,AUS
1987,DNK,AUS
1987,ESP,AUS
1987,FIN,AUS
1987,FRA,AUS
1987,GBR,AUS
1987,ITA,AUS
1987,NLD,AUS
1987,NOR,AUS
1987,PRT,AUS
1987,SWE,AUS
1988,BEL,AUS
1988,CHE,AUS
1988,DEU,AUS
1988,DNK,AUS
1988,ESP,AUS
1988,FIN,AUS
1988,FRA,AUS
1988,GBR,AUS
1988,ITA,AUS
1988,NLD,AUS
1988,NOR,AUS
1988,PRT,AUS
1988,SWE,AUS
1989,BEL,AUS
1989,CHE,AUS
1989,DEU,AUS
1989,DNK,AUS
1989,ESP,AUS
1989,FIN,AUS
1989,FRA,AUS
1989,GBR,AUS
1989,ITA,AUS
1989,NLD,AUS
1989,NOR,AUS
1989,PRT,AUS
1989,SWE,AUS
1990,BEL,AUS
1990,CHE,AUS
1990,DEU,AUS
1990,DNK,AUS
1990,ESP,AUS
1990,FIN,AUS
1990,FRA,AUS
1990,GBR,AUS
1990,ITA,AUS
1990,NLD,AUS
1990,NOR,AUS
1990,PRT,AUS
1990,SWE,AUS
1991,BEL,AUS
1991,CHE,AUS
1991,DEU,AUS
1991,DNK,AUS
1991,ESP,AUS
1991,FIN,AUS
1991,FRA,AUS
1991,GBR,AUS
1991,ITA,AUS
1991,NLD,AUS
1991,NOR,AUS
1991,PRT,AUS
1991,SWE,AUS
1992,BEL,AUS
1992,CHE,AUS
1992,DEU,AUS
1992,DNK,AUS
1992,ESP,AUS
1992,FIN,AUS
1992,FRA,AUS
1992,GBR,AUS
1992,ITA,AUS
1992,NLD,AUS
1992,NOR,AUS
1992,PRT,AUS
1992,SWE,AUS
1993,BEL,AUS
1993,CHE,AUS
1993,DEU,AUS
1993,DNK,AUS
1993,ESP,AUS
1993,FIN,AUS
1993,FRA,AUS
1993,GBR,AUS
1993,ITA,AUS
1993,NLD,AUS
1993,NOR,AUS
1993,PRT,AUS
1993,SWE,AUS
1994,BEL,AUS
1994,CHE,AUS
1994,DEU,AUS
1994,DNK,AUS
1994,ESP,AUS
1994,FIN,AUS
1994,FRA,AUS
1994,GBR,AUS
1994,ITA,AUS
1994,NLD,AUS
1994,NOR,AUS
1994,PRT,AUS
1994,SWE,AUS
1995,BEL,AUS
1995,CHE,AUS
1995,DEU,AUS
1995,DNK,AUS
1995,ESP,AUS
1995,FIN,AUS
1995,FRA,AUS
1995,GBR,AUS
1995,ITA,AUS
1995,NLD,AUS
1995,NOR,AUS
1995,PRT,AUS
1995,SWE,AUS
1996,BEL,AUS
1996,CHE,AUS
1996,DEU,AUS
1996,DNK,AUS
1996,ESP,AUS
1996,FIN,AUS
1996,FRA,AUS
1996,GBR,AUS
1996,ITA,AUS
1996,JPN,AUS
